Montage - Démontages;20 heures;20 heures
Installation et réparation des systèmess de verrouillage;40 heures;20 heures
Configuration et programmation des clés oudes serrures électroniques;40 heures;20 heures
Système de déverouillage automobiles;40 heures;40 heures
Système de reproduction;40 heures;20 heures
Système d'ouverture de porte claquées et extraction de clés cassées;20 heures;20 heures
Serrures à pompes, à gorge ou double panneton;20 heures;20 heures
Réparation des serrures de coffres forts, de coffrets de sûreté;40 heures;20 heures
Référence des ébauches;20 heures;
Montage et pose des serrures;40 heures;20 heures
Crochetage des cylindres de sécurité;40 heures;20 heures
Contrôle d'accès;40 heures;20 heures
Connaissance des serrures : dépannage et ouverture;40 heures;20 heures
Législation;20 heures;
Comptabilité;20 heures;
Informatique;20 heures;
Total;480 heures;240 heures
